,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1827-Sir Walter Scott-My Aunt Margaret's Mirror-fragment.prd,0.0977198697068404,0.009771986970684038,0.0,0.0,0.7752442996742671,0.009771986970684038,0.0,0.0,0.3680781758957655,0.009771986970684038,0.0,12.280130293159607,19.224755700325733,0.0,0.031044595004550517,0.18002325816563858,0.07397107897664071,0.14991404590959653,0.13317827889574274
1829-Sir Walter Scott-The Tapestried Chamber and Death of the Laird's Jock-fragment.prd,0.0,0.006535947712418301,0.0,0.0,1.3725490196078431,0.0,0.006535947712418301,0.0,0.6928104575163399,0.0,0.013071895424836602,13.274509803921573,19.95424836601308,0.0,0.03150203625329394,0.19735686337139666,0.08795815699113631,0.13614948494769624,0.13998243232452287
1816-Sir Walter Scott-The Black Dwarf-fragment.prd,0.1281618887015177,0.018549747048903883,0.0033726812816188877,0.0016863406408094436,1.0472175379426645,0.04215851602023609,0.0016863406408094436,0.0,0.3659359190556493,0.0050590219224283285,0.010118043844856659,11.483979763912313,18.63912310286678,0.0,0.027406215427939255,0.1858719702303128,0.0745750779442824,0.1365659257769285,0.1280549130041235
1817-Sir Walter Scott-Rob Roy-fragment.prd,0.1568627450980392,0.0142602495543672,0.0106951871657754,0.0,0.9946524064171124,0.0213903743315508,0.0,0.0,0.46524064171123,0.0124777183600713,0.0106951871657754,13.385026737967912,20.727272727272727,0.0,0.02722263961933384,0.1856999749561733,0.07951414976208365,0.13814174805910345,0.13017781116954671
1819-Sir Walter Scott-A Legend of Montrose-fragment.prd,0.1223175965665236,0.008583690987124462,0.0,0.0,1.0622317596566524,0.017167381974248927,0.0,0.0,0.4163090128755365,0.002145922746781116,0.002145922746781116,13.34763948497854,20.729613733905577,0.0,0.023361176240719032,0.19096815162172728,0.07495603751465416,0.13468395857756935,0.12739351309105118
1819-Sir Walter Scott-Ivanhoe-fragment.prd,0.08739837398373984,0.022357723577235773,0.002032520325203252,0.0,1.1097560975609757,0.014227642276422762,0.0,0.002032520325203252,0.4634146341463415,0.002032520325203252,0.008130081300813009,13.060975609756095,20.406504065040647,0.0,0.022487985619428445,0.20404270149308484,0.07900754490871516,0.12965748315541045,0.1324333247734693
1821-Sir Walter Scott-Kenilworth-fragment.prd,0.12878787878787878,0.016666666666666666,0.0030303030303030303,0.0,0.7515151515151515,0.031818181818181815,0.0015151515151515152,0.0,0.3181818181818182,0.01212121212121212,0.006060606060606061,10.886363636363637,17.85,0.0,0.0253442606104203,0.1864659336142226,0.06567927242832186,0.14261124242112835,0.11762665707532627
1823-Sir Walter Scott-Quentin Durward-fragment.prd,0.08704061895551257,0.01740812379110251,0.009671179883945842,0.0019342359767891683,1.2843326885880078,0.025145067698259187,0.0038684719535783366,0.0,0.6518375241779497,0.01160541586073501,0.007736943907156673,12.268858800773694,18.876208897485487,0.007736943907156673,0.022789337586698568,0.19176393822953672,0.08597356146837767,0.1336789192585611,0.1343435075763068
1827-Sir Walter Scott-Chronicles of the Canongate-fragment.prd,0.07062600321027288,0.012841091492776886,0.0,0.0,1.0160513643659712,0.019261637239165328,0.0,0.0,0.6115569823434992,0.004815409309791332,0.003210272873194221,12.709470304975927,19.390048154093094,0.0,0.02754844557681472,0.18732698008280446,0.07966878169479899,0.13434920012739165,0.13994708346603296
1830-Sir Walter Scott-Letters On Demonology And Witchcraft-fragment.prd,0.004264392324093817,0.0,0.0,0.010660980810234541,1.8805970149253728,0.0,0.0,0.0,0.7739872068230277,0.0,0.0,13.292110874200427,19.680170575692962,0.0,0.01953489470762617,0.21154141421299413,0.08780072990114446,0.1285948812434303,0.15466109201714914
1848-Charles Kingsley-Yeast- A Problem-fragment.prd,0.09220532319391636,0.0123574144486692,0.0009505703422053232,0.0009505703422053232,0.8982889733840305,0.030418250950570342,0.0028517110266159697,0.0,0.3925855513307985,0.04562737642585552,0.017110266159695818,8.052281368821292,13.113117870722435,0.0019011406844106464,0.02974119253647071,0.18312170910093625,0.0823167929408984,0.13153091639639167,0.12904920099268616
1850-Wilkie Collins-Antonina-fragment.prd,0.05773955773955774,0.003685503685503685,0.0,0.002457002457002457,0.472972972972973,0.006142506142506142,0.0,0.0,0.2542997542997543,0.003685503685503685,0.0515970515970516,10.358722358722359,16.40663390663391,0.0,0.024972540305781055,0.21837716363452725,0.08255583471157853,0.12526670622545988,0.15285265191207847
