,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1858-Becquer-El Caudillo de las Manos Rojas-fragment_1.prd,0.03286384976525822,0.004694835680751174,0.0,0.004694835680751174,0.8873239436619719,0.018779342723004692,0.023474178403755867,0.0,0.3286384976525822,0.023474178403755867,0.004694835680751174,4.63849765258216,13.624413145539904,0.0,0.048440065681445,0.24055829228243025,0.06949917898193761,0.10545977011494252,0.020525451559934318
1858-Becquer-El Caudillo de las Manos Rojas-fragment_2.prd,0.05882352941176471,0.0,0.0,0.0196078431372549,1.6470588235294117,0.0,0.0,0.0,0.5490196078431373,0.0196078431372549,0.0196078431372549,5.980392156862745,17.098039215686278,0.0,0.06510607168983175,0.22980457728080256,0.07440693907409343,0.09718883895913888,0.01672066046608841
1861-Becquer-Maese Pérez el Organista-fragment_1.prd,0.05660377358490566,0.018867924528301886,0.0,0.018867924528301886,1.2452830188679245,0.16037735849056606,0.018867924528301886,0.0,0.3867924528301887,0.018867924528301886,0.018867924528301886,5.7075471698113205,15.169811320754715,0.1509433962264151,0.05443341321465252,0.2156110920917494,0.0625813077713112,0.1327627524820267,0.03943854844231428
1861-Valera-Mariquita y Antonio-fragment_1.prd,0.00546448087431694,0.01092896174863388,0.0,0.0,1.3770491803278688,0.01092896174863388,0.0,0.0,0.6666666666666666,0.0,0.01092896174863388,4.874316939890711,13.147540983606556,0.0,0.053068508030103184,0.2007913724881682,0.0865466677011405,0.1007448211653348,0.05892621615330902
1861-Valera-Mariquita y Antonio-fragment_2.prd,0.061904761904761914,0.0,0.0,0.0047619047619047615,1.4190476190476191,0.028571428571428567,0.0,0.0,0.5666666666666667,0.014285714285714284,0.0,4.852380952380952,13.371428571428574,0.0,0.053446413569628363,0.17526103132375884,0.07228867464095691,0.11961435372244668,0.055766692003040366
1861-Valera-Mariquita y Antonio-fragment_3.prd,0.03404255319148936,0.00851063829787234,0.0,0.0,1.2297872340425533,0.00851063829787234,0.0,0.0,0.5234042553191489,0.01702127659574468,0.0,4.2170212765957436,11.102127659574466,0.0,0.04873942843400537,0.1751573209347068,0.06934145657140567,0.12293077878872902,0.06152551204457093
1861-Valera-Mariquita y Antonio-fragment_4.prd,0.04035874439461883,0.0,0.0,0.008968609865470852,1.3318385650224216,0.01345291479820628,0.004484304932735426,0.0,0.5381165919282511,0.008968609865470852,0.0,4.358744394618834,11.219730941704038,0.0,0.04780047132757266,0.1624116260801257,0.0776904948939513,0.12050274941084052,0.05809112333071485
1862-Becquer-Creed en Dios-fragment_1.prd,0.013333333333333334,0.0,0.0,0.0,1.8133333333333328,0.05333333333333334,0.0,0.0,0.44,0.0,0.013333333333333334,5.0,13.16,0.0,0.06189537800071659,0.2291293443210319,0.08993192404156218,0.1135793622357578,0.026513794338946614
1862-Becquer-El Cristo de la Calavera-fragment_1.prd,0.0,0.0,0.0,0.0,5.258064516129032,0.06451612903225806,0.0,0.0,1.0,0.0,0.0,6.709677419354839,16.483870967741936,0.0,0.047188264058679714,0.2330073349633252,0.09062754686226568,0.11475142624286877,0.025753871230643845
1862-Becquer-El Miserere-fragment_1.prd,0.02564102564102564,0.0,0.0,0.02564102564102564,3.5641025641025643,0.10256410256410256,0.0,0.0,1.0,0.02564102564102564,0.0,6.0769230769230775,14.923076923076925,0.0,0.053514608041654615,0.22553273551248676,0.08012727798669368,0.11532156976183587,0.03394079645164401
1862-Becquer-El Rayo de Luna-fragment_1.prd,0.017241379310344827,0.05172413793103448,0.0,0.03448275862068965,2.5689655172413794,0.1896551724137931,0.03448275862068965,0.0,0.6551724137931034,0.03448275862068965,0.03448275862068965,5.396551724137932,13.534482758620689,0.06896551724137931,0.053923463471202165,0.2088326246617704,0.08194820255121762,0.12156938538848085,0.035175879396984924
1862-Becquer-La Venta de los Gatos-fragment_1.prd,0.014285714285714284,0.0,0.0,0.0,1.8,0.042857142857142864,0.0,0.0,0.6857142857142857,0.0,0.0,5.3,13.9,0.0,0.05430788076766027,0.19942833809718247,0.07521437321355655,0.12233564720293998,0.052102899142507146
1862-Becquer-Tres Flechas-fragment_1.prd,0.02564102564102564,0.0,0.0,0.0,2.858974358974359,0.05128205128205128,0.0,0.0,0.9230769230769232,0.0,0.0,5.641025641025642,13.730769230769232,0.0,0.04173861561991218,0.2331639449405496,0.10868814445705263,0.09798214021412008,0.041590606344664265
1863-Becquer-el beso-fragment_1.prd,0.0625,0.015625,0.0,0.0,2.78125,0.125,0.015625,0.0,0.6875,0.03125,0.0,5.859375,14.546875,0.03125,0.05381074861242724,0.21984567483416811,0.08501421416001083,0.11256260999052388,0.04020576688777582
1863-Becquer-El Gnomo-fragment_1.prd,0.05660377358490566,0.018867924528301886,0.009433962264150943,0.009433962264150943,1.7075471698113207,0.0660377358490566,0.009433962264150943,0.0,0.490566037735849,0.0,0.0,4.726415094339623,12.39622641509434,0.0,0.05244507441530829,0.2262096514399845,0.07531731202886413,0.11687391276335288,0.034598286192899945
1863-Becquer-Historia de una Mariposa y una Araña-fragment_1.prd,0.043478260869565216,0.0,0.0,0.0,2.782608695652174,0.0,0.0,0.0,1.0434782608695652,0.0,0.0,4.826086956521738,11.434782608695652,0.0,0.06365092073658928,0.1733386709367494,0.07646116893514812,0.1357085668534828,0.050840672538030415
1863-Becquer-La Corza Blanca-fragment_1.prd,0.07407407407407407,0.0,0.0,0.018518518518518517,5.351851851851851,0.018518518518518517,0.0,0.0,1.2222222222222223,0.0,0.0,6.314814814814816,15.203703703703706,0.0,0.038342122123108766,0.20974816421073386,0.07870484451234537,0.11867330343502044,0.04647380612094032
1863-Becquer-La Cueva de la Mora-fragment_1.prd,0.038461538461538464,0.0,0.0,0.0,3.615384615384616,0.07692307692307693,0.0,0.0,0.8461538461538461,0.038461538461538464,0.038461538461538464,5.115384615384615,12.384615384615385,0.0,0.054176804541768035,0.2301703163017032,0.08077858880778589,0.13511759935117598,0.03828061638280617
1863-Becquer-La Promesa-fragment_1.prd,0.016129032258064516,0.0,0.0,0.0,1.6451612903225807,0.0967741935483871,0.0,0.0,0.3548387096774194,0.0,0.016129032258064516,4.903225806451613,13.258064516129034,0.0,0.05696264905883513,0.2269636345717946,0.08317729378141323,0.12141519660983542,0.03547846654183503
1863-Becquer-Un Boceto del Natural-fragment_1.prd,0.02531645569620253,0.012658227848101266,0.0,0.02531645569620253,1.620253164556962,0.0,0.012658227848101266,0.0,0.6455696202531646,0.012658227848101266,0.0,5.417721518987341,13.265822784810126,0.0,0.05290322580645161,0.182314990512334,0.07650853889943074,0.1338899430740038,0.051992409867172684
1864-Becquer-La Rosa de Pasión-fragment_1.prd,0.0975609756097561,0.0,0.0,0.0,2.1707317073170733,0.12195121951219512,0.024390243902439025,0.0,0.7560975609756098,0.024390243902439025,0.0,6.463414634146342,16.0,0.0,0.06495058107961334,0.2043010752688172,0.09959813185619636,0.1169762137504073,0.04105571847507331
1864-Becquer-Un Lance Pesado-fragment_1.prd,0.0,0.0,0.0,0.01818181818181818,1.018181818181818,0.01818181818181818,0.0,0.0,0.4727272727272727,0.0,0.0,4.3090909090909095,11.945454545454545,0.0,0.07120324470482199,0.2048971007961544,0.08126783836563016,0.12873666816884485,0.05152471083070452
1865-Becquer-Memorias de un Pavo-fragment_1.prd,0.07142857142857142,0.0,0.0,0.0,1.0535714285714286,0.05357142857142857,0.0,0.0,0.375,0.017857142857142856,0.03571428571428571,3.803571428571429,10.267857142857142,0.0,0.08099595020248987,0.21298935053247334,0.07904604769761511,0.1072446377681116,0.03974801259937003
1866-Becquer-Un Tesoro-fragment_1.prd,0.0,0.0,0.0,0.0,1.9629629629629632,0.037037037037037035,0.037037037037037035,0.0,0.5185185185185185,0.0,0.0,5.777777777777778,13.703703703703706,0.0,0.06537856661424399,0.2073691305324646,0.08447539878678949,0.10514491125589756,0.04807908335205572
