,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1823-Hugo-Han d'Islande-fragment_1.prd,0.010948905109489052,0.01824817518248175,0.0,0.007299270072992701,0.5036496350364964,0.0145985401459854,0.0036496350364963507,0.0,0.06569343065693431,0.010948905109489052,0.0291970802919708,8.05109489051095,10.777372262773724,0.0,0.061403898237357375,0.17169116014740488,0.06797495893087066,0.12982284775562758,0.06859654575323003
1823-Hugo-Han d'Islande-fragment_2.prd,0.023904382470119518,0.00398406374501992,0.0,0.0,0.6972111553784861,0.00398406374501992,0.0,0.0,0.06374501992031872,0.00796812749003984,0.01593625498007968,8.609561752988048,11.398406374501992,0.0,0.06077129413834044,0.17030913328349676,0.05927619717690515,0.13605382349061168,0.06815883206543248
1823-Hugo-Han d'Islande-fragment_3.prd,0.008620689655172414,0.008620689655172414,0.0,0.0,0.4540229885057471,0.014367816091954025,0.005747126436781609,0.002873563218390805,0.02586206896551724,0.017241379310344827,0.03735632183908046,6.876436781609195,9.00287356321839,0.0,0.06306715063520871,0.17291288566243193,0.05848457350272233,0.13030852994555353,0.06810344827586208
1823-Hugo-Han d'Islande-fragment_4.prd,0.014749262536873156,0.011799410029498523,0.0,0.0,0.3657817109144543,0.0,0.0,0.0,0.02359882005899705,0.011799410029498523,0.04424778761061947,6.893805309734512,9.14749262536873,0.0,0.06205003599712022,0.19195464362850967,0.061555075593952485,0.13084953203743702,0.06079013678905688
1826-Hugo-Jargal-fragment_1.prd,0.013937282229965157,0.010452961672473868,0.0,0.003484320557491289,0.4982578397212544,0.006968641114982578,0.003484320557491289,0.0,0.055749128919860634,0.006968641114982578,0.020905923344947737,7.588850174216027,9.794425087108014,0.0,0.055412652046911114,0.17521907834503206,0.07088982866111522,0.12883114618302308,0.06870994463094564
1826-Hugo-Jargal-fragment_2.prd,0.01791044776119403,0.011940298507462687,0.0,0.005970149253731343,0.31343283582089554,0.0,0.0029850746268656717,0.0,0.04776119402985075,0.0029850746268656717,0.026865671641791045,7.095522388059702,9.328358208955224,0.0,0.06286179450072359,0.17750542691751087,0.061052821997105634,0.1361704052098408,0.05928907380607815
1826-Hugo-Jargal-fragment_3.prd,0.0,0.003154574132492113,0.0,0.003154574132492113,0.3627760252365931,0.003154574132492113,0.0,0.0,0.06624605678233439,0.006309148264984227,0.01577287066246057,6.952681388012619,9.110410094637224,0.0,0.06211878703984081,0.19695462213955095,0.05926374529566985,0.13314876497815462,0.04996323052299174
1826-Hugo-Jargal-fragment_4.prd,0.017543859649122806,0.023391812865497075,0.0,0.005847953216374269,0.3888888888888889,0.017543859649122806,0.005847953216374269,0.0,0.029239766081871343,0.005847953216374269,0.038011695906432746,6.754385964912281,9.169590643274852,0.0,0.06077323286688195,0.18572838177251524,0.05350735557947614,0.13670613562970935,0.0475421600287047
1829-Hugo-Le dernier condamne-fragment_1.prd,0.010482180293501049,0.020964360587002098,0.0,0.0020964360587002093,0.2809224318658281,0.00419287211740042,0.0020964360587002093,0.0,0.03773584905660377,0.018867924528301886,0.03563941299790356,4.763102725366877,6.360587002096436,0.0,0.06781326781326781,0.1868796068796069,0.06914004914004912,0.12515970515970515,0.06049140049140049
1829-Hugo-Le dernier condamne-fragment_2.prd,0.0133630289532294,0.008908685968819599,0.0,0.0,0.32293986636971045,0.004454342984409799,0.0022271714922049,0.0,0.024498886414253896,0.0133630289532294,0.035634743875278395,5.3296213808463255,7.013363028953228,0.0,0.06496156401252727,0.18472999905096327,0.05433235266204802,0.1431147385403815,0.05362057511625701
