,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1832-Гоголь-Вечера на хуторе близ Диканьки-fragment.prd,0.029239766081871343,0.011695906432748536,0.0,0.0,0.15087719298245614,0.059649122807017535,0.004678362573099414,0.0011695906432748536,0.10994152046783626,0.008187134502923977,0.03625730994152047,6.401169590643276,11.794152046783626,0.0,0.035553772070625995,0.2313001605136437,0.08028892455858748,0.1916051364365971,0.06922953451043339
1834-Гоголь-Записки сумасшедшего-fragment.prd,0.03898305084745763,0.0288135593220339,0.0,0.005084745762711864,0.21016949152542366,0.04406779661016949,0.001694915254237288,0.0,0.08135593220338982,0.013559322033898305,0.04067796610169491,5.6406779661016975,9.547457627118645,0.0,0.03881173163261024,0.19259010615533084,0.06449041245332103,0.18973691939747409,0.08303612637938992
1834-Гоголь-Невский проспект-fragment.prd,0.007285974499089253,0.014571948998178506,0.0,0.0018214936247723133,0.4699453551912569,0.0273224043715847,0.0,0.0,0.1785063752276867,0.0036429872495446266,0.016393442622950817,6.66120218579235,13.264116575591984,0.0,0.028888085260269317,0.2317215852283605,0.11265927801059372,0.17688102278287138,0.0805377693633134
1835-Гоголь-Вий-fragment.prd,0.008948545861297539,0.016778523489932886,0.0,0.0011185682326621924,0.116331096196868,0.016778523489932886,0.0055928411633109605,0.0,0.1017897091722595,0.0044742729306487695,0.015659955257270694,5.3165548098434,9.86241610738255,0.0011185682326621924,0.032201571769444624,0.24375560955320594,0.08765132111818917,0.20671614018957554,0.07609290514655984
1835-Гоголь-Коляска-fragment.prd,0.013157894736842105,0.013157894736842105,0.0,0.013157894736842105,0.15789473684210525,0.07236842105263158,0.006578947368421052,0.0,0.05263157894736842,0.006578947368421052,0.0,6.598684210526316,12.467105263157894,0.0,0.041123579842475784,0.2333588903603541,0.10671220464208546,0.17766780511605212,0.09102948351571756
1835-Гоголь-Портрет-fragment.prd,0.030812324929971987,0.008403361344537815,0.0,0.0,0.3067226890756303,0.028011204481792718,0.0014005602240896359,0.0,0.12745098039215685,0.011204481792717087,0.012605042016806723,6.648459383753503,13.162464985994394,0.0,0.02895743994097847,0.2358402114938289,0.09700127572585727,0.19005241235148554,0.07692780621263122
1836-Гоголь-Нос-fragment.prd,0.04918032786885247,0.01092896174863388,0.0,0.0,0.3142076502732241,0.02459016393442624,0.01366120218579235,0.0,0.1448087431693989,0.00273224043715847,0.02185792349726776,7.046448087431692,13.557377049180328,0.0,0.03532382839971869,0.2058691899494917,0.07956652387954734,0.18541014001662293,0.08167636340387444
1842-Гоголь-Тарас Бульба-fragment.prd,0.026484018264840186,0.015525114155251141,0.00091324200913242,0.00091324200913242,0.22009132420091326,0.021004566210045664,0.0054794520547945215,0.00182648401826484,0.13333333333333333,0.0182648401826484,0.03744292237442922,5.537899543378996,10.468493150684932,0.0,0.03307791157012993,0.2439039868005648,0.09880538765408596,0.18856789300842414,0.07860961718464933
1843-Гоголь-Шинель-fragment.prd,0.013927576601671307,0.008356545961002786,0.0,0.005571030640668525,0.637883008356546,0.027855153203342614,0.0,0.0,0.3231197771587744,0.005571030640668525,0.0,7.445682451253482,16.181058495821727,0.0,0.027182050632328213,0.21810140287024027,0.08361935914860287,0.1860588330146737,0.09868466517702887
1845-Гоголь-Мертвые души-fragment.prd,0.015698587127158554,0.020408163265306117,0.0,0.01098901098901099,0.533751962323391,0.02511773940345369,0.007849293563579277,0.0,0.18210361067503925,0.0031397174254317113,0.0031397174254317113,7.281004709576138,14.469387755102039,0.0,0.03072378138847858,0.2266656301018425,0.09409935473839696,0.18084428204928865,0.08987017025577237
1845-Достоевский-Бедные люди-fragment.prd,0.014218009478672985,0.011374407582938388,0.0,0.0,0.3004739336492891,0.024644549763033177,0.0009478672985781992,0.0,0.1004739336492891,0.02843601895734597,0.04834123222748815,5.452132701421801,9.671090047393363,0.0,0.029436186320639518,0.18612526660262774,0.08912261278715748,0.1827713648426434,0.08671301346445028
1846-Достоевский-Двойник-fragment.prd,0.04067321178120617,0.033660589060308554,0.001402524544179523,0.012622720897615708,0.8359046283309958,0.07573632538569425,0.005610098176718092,0.0,0.25105189340813466,0.011220196353436185,0.0070126227208976155,7.03225806451613,14.106591865357645,0.0,0.022289905142891774,0.22255053489711185,0.08247719489650575,0.1811225262902688,0.10106979422371733
1847-Достоевский-Хозяйка-fragment.prd,0.020656136087484813,0.002430133657351154,0.0,0.0,0.3985419198055893,0.05589307411907655,0.007290400972053463,0.0,0.1445929526123937,0.008505467800729041,0.014580801944106925,6.665856622114216,12.356014580801945,0.0,0.026635431542127302,0.20260577956773584,0.09787718819697384,0.20733918457070424,0.0769699789804727
1848-Достоевский-Неточка Незванова-fragment.prd,0.005134788189987164,0.012836970474967908,0.0,0.0,0.5353016688061617,0.011553273427471115,0.002567394094993581,0.0,0.2682926829268293,0.006418485237483954,0.007702182284980746,7.089858793324777,13.988446726572528,0.0,0.024126866592620016,0.1796865358509194,0.08112736023694928,0.19434160187584845,0.08865543625817597
1852-Тургенев-Записки охотника-fragment.prd,0.02453271028037383,0.0070093457943925215,0.0011682242990654205,0.0035046728971962608,0.21261682242990654,0.04088785046728972,0.004672897196261682,0.0,0.10046728971962617,0.0,0.0011682242990654205,6.95911214953271,12.44392523364486,0.0,0.0383614216586017,0.23005172701485066,0.08728516602703154,0.19237443684298347,0.06278992157517102
1855-Тургенев-Рудин-fragment.prd,0.008951406649616368,0.01918158567774936,0.0,0.0025575447570332483,0.24168797953964194,0.028132992327365727,0.005115089514066497,0.0,0.11125319693094628,0.005115089514066497,0.00639386189258312,7.225063938618926,12.933503836317135,0.0,0.034646100176137624,0.2003180737725944,0.0825452742103733,0.19366588573285226,0.07373839287241138
